id	name	email	zip
C001	Robert Martinez	rob.martinez@example.com	78701
C002	Bob Martinez	robert.martinez@example.com	78701
C003	Jane Doe	jane.doe@example.com	10001
C004	Jane  Doe.	jdoe@example.net	10001
C005	Elizabeth Chen	liz.chen@example.org	94110
C006	Liz Chen	liz.chen@example.org	94110
C007	Janette Doe	janette.doe@example.com	10001
C008	Pat O'Neil	pat@example.org	60601
C009	Patrick O'Neil	pat.oneil@example.org	60601
C010	Jane Doe	jane.doe@example.com	94110
C011	Wm. Fitzgerald	wf@example.com	02134
C012	William Fitzgerald	william.fitzgerald@example.com	02134
C013	Sam Kowalski	sam.k@example.net	78701
